name,teams,position,start_year,stop_year,total_game,games_started
Lyneal Alston,PIT,wr,1987,1987,3,1
Mack Alston,WAS|HOU|BAL,te,1970,1980,145,71
O'Brien Alston,IND,lb,1988,1989,19,15
Richard Alston,CLE,,2004,2004,9,0
Mike Alstott,TAM,FB,1996,2006,158,137
John Alt,KAN,LT,1984,1996,179,149
Jim Althoff,CHI,dt,1987,1987,4,3
Tyson Alualu,JAX|PIT,db/de,2010,2018,129,93
Wilson Alvarez,SEA,k,1981,1981,4,0
Steve Alvers,BUF|NYJ,,1981,1982,19,0
Steve Alvord,STL|PHO,RDT,1987,1988,27,16
Tom Alward,TAM,RG,1976,1976,14,9
Lance Alworth,SDG|DAL,WR,1962,1972,137,59
Lyle Alzado,DEN|CLE|RAI,RDE,1971,1985,196,195
Eugene Amano,TEN,C,2004,2012,124,68
Jace Amaro,NYJ|TEN,te/wr,2014,2016,17,4
Ken Amato,TEN,,2003,2011,125,0
Jonathon Amaya,MIA|NOR,,2010,2012,38,0
John Amberg,NYG,,1951,1952,24,12
Ashley Ambrose,IND|CIN|NOR|ATL,cb/lcb/rcb,1992,2004,192,141
Dick Ambrose,CLE,lilb,1975,1983,116,103
John Ambrose,BKN,,1932,1932,6,2
Walt Ambrose,PRT,,1930,1930,1,0
Alan Ameche,BAL,FB,1955,1960,70,66
Danny Amendola,STL|NWE|MIA,WR,2009,2018,115,50
David Amerson,WAS|2TM|OAK,lcb,2013,2017,68,56
Glen Amerson,PHI,,1961,1961,14,9
Dave Ames,2TM,,1961,1961,12,1
Otis Amey,SFO,,2005,2005,11,0
Vincent Amey,OAK,de,1998,1998,4,1
Richard Amman,BAL,,1972,1973,28,2
Adrian Amos,CHI,S,2015,2018,48,44
Marty Amsler,CHI|2TM,RDE,1967,1970,37,20
Joe Amstutz,CLE,,1957,1957,11,2
Prince Amukamara,NYG|JAX|CHI,LCB/rcb,2011,2018,86,72
Norm Amundsen,GNB,,1957,1957,12,2
George Amundson,HOU|PHI,,1973,1975,29,5
Vito Ananis,WAS,hb,1945,1945,1,1
Rudy Andabaker ,PIT,,1952,1954,10,5
Kimble Anders,KAN,rb,1991,2000,125,94
Jason Andersen,NWE|KAN,,1999,2002,19,0
Morten Andersen,NOR|ATL|NYG|KAN|MIN,K,1982,2007,382,0
Stan Andersen,RAM|2TM,lt,1940,1941,22,11
 Anderson ,HAM,,1922,1922,1,0
Alec Anderson ,WAS,,1921,1921,1,0
Alfred Anderson ,MIN,fb,1984,1991,108,70
Andre' Anderson ,BUF,,2010,2010,2,0
Anthony Anderson ,PIT|ATL,,1979,1980,32,0
Anthony Anderson ,SDG,,1987,1987,3,0
Antonio Anderson ,DAL,rdt,1997,1998,21,5
Aric Anderson ,GNB,,1987,1987,3,0
Art Anderson ,CHI|PIT,RT,1961,1963,41,26
Bennie Anderson ,BAL|BUF|MIA,rg,2001,2006,81,72
Bill Anderson ,BOS,,1945,1945,6,0
Bill Anderson ,WAS|GNB,SE,1958,1966,98,64
Billy Anderson ,CHI,RDH,1953,1954,19,10
Billy Guy Anderson ,HOU,,1967,1967,8,0
Bob Anderson ,NYG,,1963,1963,1,0
Bobby Anderson ,DEN|2TM,FB/KR,1970,1975,54,22
Brad Anderson ,CHI,wr,1984,1985,27,3
Brandon Anderson ,TAM,,2009,2009,3,0
Bruce Anderson ,RAM|NYG|WAS,RDE,1966,1970,59,32
Bryan Anderson ,CHI,,2004,2004,4,0
C.J. Anderson,DEN|CAR,rb,2013,2018,61,37
Charlie Anderson ,CRD,,1956,1956,2,0
Charlie Anderson ,HOU|MIA|KAN,lb,2004,2010,94,7
Chet Anderson ,PIT,,1967,1967,14,1
Cliff Anderson ,CRD|2TM,LE,1952,1953,21,15
Colt Anderson ,PHI|IND|BUF,fs/ss,2010,2017,84,7
Courtney Anderson ,OAK|2TM,TE,2004,2007,43,28
Curtis Anderson ,KAN,,1979,1979,6,0
Curtis Anderson ,JAX,,1997,1997,9,0
Damien Anderson ,ARI,rb,2002,2005,35,1
Darren Anderson ,2TM|TAM|KAN|ATL,db,1992,1998,74,6
David Anderson ,HOU|2TM,wr,2006,2011,67,10
Deon Anderson ,DAL,FB,2007,2010,39,18
Derek Anderson ,CLE|ARI|CAR,qb,2006,2017,76,47
Dick Anderson ,NOR,,1967,1967,2,0
Dick Anderson ,MIA,SS,1968,1977,121,101
Don Anderson ,IND|TAM,,1985,1987,16,0
Donny Anderson ,GNB|STL,rb,1966,1974,126,80
Dunstan Anderson ,ATL|MIA,de,1994,1997,10,1
Dwayne Anderson ,STL,,1987,1987,1,0
Dwight Anderson ,STL,,2004,2005,15,0
Eddie Anderson ,2TM|CRD,RE,1922,1925,43,40
Eddie Anderson ,SEA|RAI|OAK,db,1986,1997,159,116
Erick Anderson ,KAN|WAS,lb,1993,1994,10,1
Flipper Anderson ,RAM|IND|WAS|DEN,wr,1988,1997,114,76
Fred Anderson ,PIT|SEA,rde,1978,1982,38,6
Gary Anderson ,DET|2TM|WAS,g,1977,1980,21,3
Gary Anderson ,PIT|PHI|SFO|MIN|TEN,K/P,1982,2004,353,0
Gary Anderson ,SDG|TAM|2TM,KR/rb,1985,1993,111,61
Henry Anderson,IND|NYJ,DE,2015,2018,33,19
Herbie Anderson ,HOU,,1991,1991,1,0
Hunk Anderson ,CHI|2TM,LG,1922,1925,39,32
Jamaal Anderson ,ATL|IND|CIN,de,2007,2012,77,48
Jamal Anderson ,ATL,rb,1994,2001,88,64
James Anderson ,CAR|CHI|3TM|NOR,lb,2006,2015,133,71
Jason Anderson ,HOU,,2005,2005,1,0
Jerry Anderson ,CIN|TAM,,1977,1978,16,1
Jesse Anderson ,TAM|2TM|NOR,te,1990,1993,35,4
Joe Anderson,CHI,,2012,2013,9,0
John Anderson ,GNB,LOLB,1978,1989,146,141
Jonathan Anderson,CHI,lb,2015,2017,31,3
Justin Anderson ,IND,,2012,2012,0,0
Justin Anderson,2TM,,2014,2014,2,0
Ken Anderson ,CIN,qb,1971,1986,192,172
Ken Anderson ,CHI,,1999,1999,2,0
Kim Anderson ,BAL|IND,fs,1980,1984,56,12
Larry Anderson ,PIT|BAL|IND,KR/PR/SS,1978,1984,82,13
Marcus Anderson ,CHI,wr,1981,1981,12,1
Mark Anderson ,CHI|2TM|NWE|BUF,de,2006,2012,98,25
Marques Anderson ,GNB|OAK|2TM,SS,2002,2005,54,28
Max Anderson ,BUF,PR,1968,1969,25,13
Mel Anderson ,PIT,,1987,1987,2,0
Mike Anderson ,DEN|BAL,fb/rb,2000,2007,98,51
Neal Anderson ,CHI,RB,1986,1993,116,91
Ockie Anderson ,BUF,TB,1920,1922,29,24
